"WS0:B1"	"TextArea4"	"Case #Record ID"
"WS0:B2"	"The installation process does not work."	"Case #a0VQ0000004CU9wMAG"
"WS0:B3"	"EReg Customer Service Request for 353-50689996"	"Case #a0VQ0000004CU9xMAG"
"WS0:B4"	"Registration & Activation"	"Case #a0VQ0000004CU9yMAG"
"WS0:B5"	"The analysis does not generate any result"	"Case #a0VQ0000004CU9zMAG"
"WS0:B6"	"Xgen and Displacement"	"Case #a0VQ0000004CUA0MAO"
"WS0:B7"	"Customer Service"	"Case #a0VQ0000004CUA1MAO"
"WS0:B8"	"Joint limits disappear"	"Case #a0VQ0000004CUA2MAO"
"WS0:B9"	"Files are Too Big I need In DVD By Courier"	"Case #a0VQ0000004CUA3MAO"
"WS0:B10"	"Registration & Activation"	"Case #a0VQ0000004CUA4MAO"
"WS0:B11"	"SUBSCRIPTION AUTOCAD LT 2015 help me"	"Case #a0VQ0000004CUA5MAO"
"WS0:B12"	"Hellytest1"	"Case #a0VQ0000004CUA6MAO"
"WS0:B13"	"Hellytest2"	"Case #a0VQ0000004CUA7MAO"	""
"WS0:B14"	"Hellytest3"	"Case #a0VQ0000004CUA8MAO"
"a0VQ0000004CUA9MAO"	"Hellytest4"	""
"WS0:B15"	"Hellytest5"	""
"WS0: B16"	"Hellytest6"	"Case #a0VQ0000004CUA8MAO"

